station_id_int,name,short_name,latitude,longitude,region_id,rental_methods,capacity,eightd_has_key_dispenser,num_bikes_available,num_bikes_disabled,num_docks_available,num_docks_disabled,is_installed,is_renting,is_returning,eightd_has_available_keys
4063,Wadsworth Ave & W 175 St,8299.03,40.846052,-73.937648,71,"KEY, CREDITCARD",24,FALSE,1,1,21,0,TRUE,TRUE,TRUE,FALSE
3829,Central Ave & Decatur St,4432.1,40.6882,-73.90798,71,"KEY, CREDITCARD",24,FALSE,1,1,22,0,TRUE,TRUE,TRUE,FALSE
396,Lefferts Pl & Franklin Ave,4222.02,40.68034242,-73.95576894,71,"KEY, CREDITCARD",25,FALSE,1,1,20,0,TRUE,TRUE,TRUE,FALSE
3573,35 St & 34 Ave,6679.11,40.7580583,-73.9242751,71,"KEY, CREDITCARD",25,FALSE,1,1,22,0,TRUE,TRUE,TRUE,FALSE
3616,Steinway St & 28 Ave,6915.02,40.7656251,-73.9136695,71,"KEY, CREDITCARD",25,FALSE,1,1,22,0,TRUE,TRUE,TRUE,FALSE
3355,E 66 St & Madison Ave,6969.08,40.76800889,-73.96845281,71,"KEY, CREDITCARD",25,FALSE,1,1,23,0,TRUE,TRUE,TRUE,FALSE
3841,Menahan St & Central Ave,4672.01,40.69543,-73.9196,71,"KEY, CREDITCARD",25,FALSE,1,1,23,0,TRUE,TRUE,TRUE,FALSE
3844,Myrtle Ave & Linden St,4816.02,40.69943,-73.91337,71,"KEY, CREDITCARD",25,FALSE,1,1,23,0,TRUE,TRUE,TRUE,FALSE
3847,Cedar St & Evergreen Ave,4721.01,40.69671,-73.92807,71,"KEY, CREDITCARD",25,FALSE,1,1,23,0,TRUE,TRUE,TRUE,FALSE
4766,34 St & 48 Ave,6110.01,40.74082121,-73.93147185,71,"KEY, CREDITCARD",25,FALSE,1,1,23,0,TRUE,TRUE,TRUE,FALSE
3504,E 123 St & Lexington Ave,7636.05,40.8029263,-73.9379,71,"KEY, CREDITCARD",27,FALSE,1,1,24,0,TRUE,TRUE,TRUE,FALSE
3555,28 St & 41 Ave,6462.19,40.751047,-73.93797,71,"KEY, CREDITCARD",27,FALSE,1,1,24,0,TRUE,TRUE,TRUE,FALSE
4200,E 174 St & Walton Ave,8285.09,40.844811,-73.912042,71,"KEY, CREDITCARD",27,FALSE,1,1,24,0,TRUE,TRUE,TRUE,FALSE
4384,53 St & 5 Ave,3129.08,40.643371,-74.011884,71,"KEY, CREDITCARD",30,FALSE,1,1,27,0,TRUE,TRUE,TRUE,FALSE
3363,E 102 St & Park Ave,7488.24,40.7904828,-73.95033068,71,"KEY, CREDITCARD",33,FALSE,1,1,28,0,TRUE,TRUE,TRUE,FALSE
3517,31 St & Hoyt Ave N,7018.01,40.7711528,-73.9170074,71,"KEY, CREDITCARD",35,FALSE,1,1,33,0,TRUE,TRUE,TRUE,FALSE
3144,E 81 St & Park Ave,7188.1,40.77677702,-73.9590097,71,"KEY, CREDITCARD",46,FALSE,1,1,42,0,TRUE,TRUE,TRUE,FALSE
455,1 Ave & E 44 St,6379.03,40.75001986,-73.96905301,71,"KEY, CREDITCARD",87,FALSE,1,1,84,0,TRUE,TRUE,TRUE,FALSE
3897,Onderdonk Ave & Dekalb Ave,5115.01,40.70863,-73.91497,71,"KEY, CREDITCARD",17,FALSE,2,1,14,0,TRUE,TRUE,TRUE,FALSE
3903,Jefferson Ave & Evergreen Ave,4517.03,40.68989,-73.91458,71,"KEY, CREDITCARD",17,FALSE,2,1,14,0,TRUE,TRUE,TRUE,FALSE
3862,Linden St & Knickerbocker Ave,4743.04,40.69714,-73.91566,71,"KEY, CREDITCARD",18,FALSE,2,1,15,0,TRUE,TRUE,TRUE,FALSE
4576,Goulden Ave & Bedford Park Blvd W,8738.01,40.87387,-73.89533,71,"KEY, CREDITCARD",19,FALSE,2,1,13,0,TRUE,TRUE,TRUE,FALSE
3888,Woodward Ave & Harman St,5074.08,40.70793,-73.91092,71,"KEY, CREDITCARD",19,FALSE,2,1,14,0,TRUE,TRUE,TRUE,FALSE
4185,Southern Blvd & E 175 St,8196.02,40.839335,-73.886445,71,"KEY, CREDITCARD",19,FALSE,2,1,15,0,TRUE,TRUE,TRUE,FALSE
3820,Willoughby Ave & Myrtle Ave,4759.02,40.69757,-73.93098,71,"KEY, CREDITCARD",19,FALSE,2,1,16,0,TRUE,TRUE,TRUE,FALSE
4032,E 155 St & Courtlandt Ave,7940.02,40.82057,-73.917579,71,"KEY, CREDITCARD",19,FALSE,2,1,16,0,TRUE,TRUE,TRUE,FALSE
4212,Franklin Ave & E 169 St,8118.02,40.83171,-73.90208,71,"KEY, CREDITCARD",19,FALSE,2,1,16,0,TRUE,TRUE,TRUE,FALSE
4631,Sedgwick Ave & Hall of Fame Tce,8539.02,40.859532,-73.913303,71,"KEY, CREDITCARD",19,FALSE,2,1,16,0,TRUE,TRUE,TRUE,FALSE
3964,Brook Ave & E 148 St,7816.14,40.814383,-73.915368,71,"KEY, CREDITCARD",20,FALSE,2,1,16,0,TRUE,TRUE,TRUE,FALSE
4497,E Tremont Ave & Jerome Ave,8403.02,40.851747,-73.908964,71,"KEY, CREDITCARD",20,FALSE,2,1,16,0,TRUE,TRUE,TRUE,FALSE
3050,Putnam Ave & Throop Ave,4392.04,40.6851532,-73.94111,71,"KEY, CREDITCARD",21,FALSE,2,1,18,0,TRUE,TRUE,TRUE,FALSE
3960,Hamilton Pl & W 140 St,7959.18,40.822756,-73.951346,71,"KEY, CREDITCARD",21,FALSE,2,1,18,0,TRUE,TRUE,TRUE,FALSE
4095,E 165 St & Jerome Ave,8130.02,40.83263,-73.925101,71,"KEY, CREDITCARD",21,FALSE,2,1,18,0,TRUE,TRUE,TRUE,FALSE
4956,Dean St & Rockaway Ave,4096.08,40.67486,-73.91123,71,"KEY, CREDITCARD",21,FALSE,2,1,18,0,TRUE,TRUE,TRUE,FALSE
4395,6 Ave & 60 St,2912.08,40.638196,-74.013821,71,"KEY, CREDITCARD",22,FALSE,2,1,19,0,TRUE,TRUE,TRUE,FALSE
4783,48 St & Skillman Ave,6283.05,40.74622875,-73.91616315,71,"KEY, CREDITCARD",22,FALSE,2,1,19,0,TRUE,TRUE,TRUE,FALSE
4914,Pacific St & Nostrand Ave,4140.03,40.6776,-73.94963,71,"KEY, CREDITCARD",22,FALSE,2,1,19,0,TRUE,TRUE,TRUE,FALSE
3987,E 149 St & Jackson Ave,7812.01,40.813135,-73.909235,71,"KEY, CREDITCARD",23,FALSE,2,1,19,0,TRUE,TRUE,TRUE,FALSE
4441,Broadway & W 192 St,8511.08,40.857994,-73.932173,71,"KEY, CREDITCARD",23,FALSE,2,1,20,0,TRUE,TRUE,TRUE,FALSE
3981,Harlem River Dr & W 155 St,8085.13,40.830476,-73.939929,71,"KEY, CREDITCARD",24,FALSE,2,1,20,0,TRUE,TRUE,TRUE,FALSE
4778,44 St & 48 Ave,6058.08,40.73941387,-73.92131969,71,"KEY, CREDITCARD",24,FALSE,2,1,20,0,TRUE,TRUE,TRUE,FALSE
3383,Cathedral Pkwy & Broadway,7680.03,40.804213,-73.96699104,71,"KEY, CREDITCARD",25,FALSE,2,1,18,0,TRUE,TRUE,TRUE,FALSE
3549,Grand Ave & Bergen St,4190.06,40.678045,-73.962408,71,"KEY, CREDITCARD",25,FALSE,2,1,21,0,TRUE,TRUE,TRUE,FALSE
3879,Broadway & Madison St,4483.1,40.68822,-73.91966,71,"KEY, CREDITCARD",25,FALSE,2,1,21,0,TRUE,TRUE,TRUE,FALSE
4788,Greenpoint Ave & 47 St,6134.03,40.7424,-73.91808,71,"KEY, CREDITCARD",25,FALSE,2,1,22,0,TRUE,TRUE,TRUE,FALSE
3880,Willoughby Ave & Onderdonk Ave,5115.05,40.7098,-73.91727,71,"KEY, CREDITCARD",27,FALSE,2,1,24,0,TRUE,TRUE,TRUE,FALSE
4849,Fresh Pond Rd & 69 Ave,4945.06,40.70311,-73.89547,71,"KEY, CREDITCARD",28,FALSE,2,1,25,0,TRUE,TRUE,TRUE,FALSE
3501,E 118 St & Madison Ave,7640.04,40.8014866,-73.9442507,71,"KEY, CREDITCARD",29,FALSE,2,1,25,0,TRUE,TRUE,TRUE,FALSE
3842,Bushwick Ave & Dekalb Ave,4680.05,40.69502,-73.92825,71,"KEY, CREDITCARD",29,FALSE,2,1,26,0,TRUE,TRUE,TRUE,FALSE
216,Columbia Heights & Cranberry St,4829.01,40.70037867,-73.99548059,71,"KEY, CREDITCARD",37,FALSE,2,1,33,0,TRUE,TRUE,TRUE,FALSE
3790,Henry St & Middagh St,4861.05,40.7003,-73.991581,71,"KEY, CREDITCARD",37,FALSE,2,1,33,0,TRUE,TRUE,TRUE,FALSE
546,E 30 St & Park Ave S,6206.08,40.74444921,-73.98303529,71,"KEY, CREDITCARD",45,FALSE,2,1,41,0,TRUE,TRUE,TRUE,FALSE
3898,E 63 St & 3 Ave,6830.02,40.763954,-73.9646,71,"KEY, CREDITCARD",57,FALSE,2,1,54,0,TRUE,TRUE,TRUE,FALSE
3607,31 Ave & 14 St,6966.04,40.7682,-73.9322662,71,"KEY, CREDITCARD",19,FALSE,3,1,13,0,TRUE,TRUE,TRUE,FALSE
289,Monroe St & Classon Ave,4336.01,40.6845683,-73.95881081,71,"KEY, CREDITCARD",19,FALSE,3,1,14,0,TRUE,TRUE,TRUE,FALSE
3596,Sullivan Pl & Bedford Ave,3736.04,40.6642406,-73.9574686,71,"KEY, CREDITCARD",19,FALSE,3,1,15,0,TRUE,TRUE,TRUE,FALSE
3988,E 128 St & 3 Ave,7696.07,40.805631,-73.934077,71,"KEY, CREDITCARD",19,FALSE,3,1,15,0,TRUE,TRUE,TRUE,FALSE
4156,Fulton Ave & St. Paul's Pl,8152.03,40.83545,-73.90153,71,"KEY, CREDITCARD",19,FALSE,3,1,15,0,TRUE,TRUE,TRUE,FALSE
4211,Union Ave & E 169 St,8064.03,40.82995,-73.898802,71,"KEY, CREDITCARD",19,FALSE,3,1,15,0,TRUE,TRUE,TRUE,FALSE
4511,Grand Ave & W 181 St,8500.01,40.856302,-73.907302,71,"KEY, CREDITCARD",19,FALSE,3,1,15,0,TRUE,TRUE,TRUE,FALSE
4859,57 St & Grand Ave,5440.05,40.71921,-73.9124,71,"KEY, CREDITCARD",19,FALSE,3,1,15,0,TRUE,TRUE,TRUE,FALSE
3997,5 Av & W 139 St,7851.04,40.815484,-73.935856,71,"KEY, CREDITCARD",20,FALSE,3,1,16,0,TRUE,TRUE,TRUE,FALSE
4938,St Marks Ave & Rochester Ave,4039.04,40.67404,-73.92772,71,"KEY, CREDITCARD",20,FALSE,3,1,16,0,TRUE,TRUE,TRUE,FALSE
3498,Pleasant Ave & E 120 St,7579.01,40.7974772,-73.9311847,71,"KEY, CREDITCARD",21,FALSE,3,1,15,0,TRUE,TRUE,TRUE,FALSE
4437,Broadway & W 185 St,8416.07,40.852538,-73.93441,71,"KEY, CREDITCARD",21,FALSE,3,1,17,0,TRUE,TRUE,TRUE,FALSE
5014,Schenectady Ave & Pacific St,4080.01,40.67686,-73.93327,71,"KEY, CREDITCARD",21,FALSE,3,1,17,0,TRUE,TRUE,TRUE,FALSE
3511,Adam Clayton Powell Blvd & W 115 St,7643.18,40.802535,-73.9532423,71,"KEY, CREDITCARD",22,FALSE,3,1,18,0,TRUE,TRUE,TRUE,FALSE
3830,Halsey St & Evergreen Ave,4474.01,40.68858,-73.91227,71,"KEY, CREDITCARD",22,FALSE,3,1,18,0,TRUE,TRUE,TRUE,FALSE
3835,Knickerbocker Ave & Hancock St,4663.02,40.69385,-73.90974,71,"KEY, CREDITCARD",22,FALSE,3,1,18,0,TRUE,TRUE,TRUE,FALSE
4102,Grand Concourse & E 164 St,8057.02,40.829608,-73.921461,71,"KEY, CREDITCARD",22,FALSE,3,1,18,0,TRUE,TRUE,TRUE,FALSE
4920,MacDonough St & Marcy Ave,4246.02,40.68078,-73.94613,71,"KEY, CREDITCARD",22,FALSE,3,1,18,0,TRUE,TRUE,TRUE,FALSE
4939,Sterling Pl & Rochester Ave,3925.03,40.67128,-73.92825,71,"KEY, CREDITCARD",22,FALSE,3,1,18,0,TRUE,TRUE,TRUE,FALSE
4008,Broadway & W 142 St,7981.16,40.824686,-73.951947,71,"KEY, CREDITCARD",23,FALSE,3,1,17,0,TRUE,TRUE,TRUE,FALSE
3062,Myrtle Ave & Marcy Ave,4707.03,40.69539817,-73.94954908,71,"KEY, CREDITCARD",23,FALSE,3,1,19,0,TRUE,TRUE,TRUE,FALSE
3776,Central Ave & Starr Street,4792.03,40.700003,-73.92834,71,"KEY, CREDITCARD",23,FALSE,3,1,19,0,TRUE,TRUE,TRUE,FALSE
4801,55 St & Northern Blvd,6502.01,40.75326,-73.90585,71,"KEY, CREDITCARD",23,FALSE,3,1,19,0,TRUE,TRUE,TRUE,FALSE
4565,Bedford Park Blvd & Paul Ave,8752.01,40.87444,-73.89186,71,"KEY, CREDITCARD",24,FALSE,3,1,17,0,TRUE,TRUE,TRUE,FALSE
3293,W 92 St & Broadway,7502.01,40.7921,-73.9739,71,"KEY, CREDITCARD",24,FALSE,3,1,18,0,TRUE,TRUE,TRUE,FALSE
4430,63 St & 5 Ave,2872.02,40.63766,-74.01782,71,"KEY, CREDITCARD",24,FALSE,3,1,20,0,TRUE,TRUE,TRUE,FALSE
3416,7 Ave & Park Pl,4125.07,40.6776147,-73.97324283,71,"KEY, CREDITCARD",25,FALSE,3,1,20,0,TRUE,TRUE,TRUE,FALSE
4350,Prospect Park W & 20 St,3507.04,40.656633,-73.983864,71,"KEY, CREDITCARD",25,FALSE,3,1,20,0,TRUE,TRUE,TRUE,FALSE
4272,Ditmars Blvd & 43 St,7039.03,40.771203,-73.903865,71,"KEY, CREDITCARD",27,FALSE,3,1,20,0,TRUE,TRUE,TRUE,FALSE
3327,3 Ave & E 100 St,7414.17,40.7877214,-73.94728331,71,"KEY, CREDITCARD",27,FALSE,3,1,21,0,TRUE,TRUE,TRUE,FALSE
3044,Albany Ave & Fulton St,4237.02,40.6800105,-73.938475,71,"KEY, CREDITCARD",27,FALSE,3,1,22,0,TRUE,TRUE,TRUE,FALSE
3600,31 Ave & Steinway St,6782.01,40.7611488,-73.9170071,71,"KEY, CREDITCARD",27,FALSE,3,1,22,0,TRUE,TRUE,TRUE,FALSE
385,E 55 St & 2 Ave,6650.07,40.75797322,-73.96603308,71,"KEY, CREDITCARD",29,FALSE,3,1,19,0,TRUE,TRUE,TRUE,FALSE
4373,5 Ave & 41 St,3306.03,40.649983,-74.005144,71,"KEY, CREDITCARD",30,FALSE,3,1,25,0,TRUE,TRUE,TRUE,FALSE
3963,Melrose Ave & E 150 St,7879.01,40.816827,-73.917338,71,"KEY, CREDITCARD",31,FALSE,3,1,26,0,TRUE,TRUE,TRUE,FALSE
3314,W 95 St & Broadway,7541.01,40.7937704,-73.971888,71,"KEY, CREDITCARD",32,FALSE,3,1,24,0,TRUE,TRUE,TRUE,FALSE
4607,Jerome Ave & W 195 St,8653.09,40.86874,-73.89657,71,"KEY, CREDITCARD",32,FALSE,3,1,28,0,TRUE,TRUE,TRUE,FALSE
3514,Astoria Park S & Shore Blvd,7159.08,40.7767,-73.927631,71,"KEY, CREDITCARD",33,FALSE,3,1,27,0,TRUE,TRUE,TRUE,FALSE
3075,Division Ave & Marcy Ave,5084.03,40.70708701,-73.95796783,71,"KEY, CREDITCARD",33,FALSE,3,1,29,0,TRUE,TRUE,TRUE,FALSE
5053,Hudson Blvd W & W 36 St,6611.07,40.75676475,-73.9997144,71,"KEY, CREDITCARD",47,FALSE,3,1,42,0,TRUE,TRUE,TRUE,FALSE
3331,Riverside Dr & W 104 St,7623.13,40.8013434,-73.97114574,71,"KEY, CREDITCARD",58,FALSE,3,1,53,0,TRUE,TRUE,TRUE,FALSE
4494,Townsend Ave & E 175 St,8323.05,40.84741,-73.911359,71,"KEY, CREDITCARD",19,FALSE,4,1,12,0,TRUE,TRUE,TRUE,FALSE
4450,Wakeman Pl & Ridge Blvd,2932.03,40.639421,-74.026823,71,"KEY, CREDITCARD",19,FALSE,4,1,13,0,TRUE,TRUE,TRUE,FALSE
4512,Jerome Ave & E 181 St,8478.11,40.855653,-73.905528,71,"KEY, CREDITCARD",19,FALSE,4,1,13,0,TRUE,TRUE,TRUE,FALSE
3530,Crescent St & Ditmars Blvd,7233.05,40.7787185,-73.9145645,71,"KEY, CREDITCARD",19,FALSE,4,1,14,0,TRUE,TRUE,TRUE,FALSE
3933,Gerard Ave & E 146 St,7868.05,40.817755,-73.92965,71,"KEY, CREDITCARD",19,FALSE,4,1,14,0,TRUE,TRUE,TRUE,FALSE
4898,Putnam Ave & Ralph Ave,4450.06,40.68705,-73.92338,71,"KEY, CREDITCARD",20,FALSE,4,1,15,0,TRUE,TRUE,TRUE,FALSE
4756,7 Ave & 17 St,3660.07,40.66093779,-73.98680449,71,"KEY, CREDITCARD",21,FALSE,4,1,15,0,TRUE,TRUE,TRUE,FALSE
4018,Broadway & W 131 St,7865.09,40.817555,-73.957163,71,"KEY, CREDITCARD",21,FALSE,4,1,16,0,TRUE,TRUE,TRUE,FALSE
3053,Marcy Ave & Lafayette Ave,4476.03,40.6900815,-73.947915,71,"KEY, CREDITCARD",23,FALSE,4,1,18,0,TRUE,TRUE,TRUE,FALSE
3405,5 St & 6 Ave,3874.01,40.6704836,-73.98208968,71,"KEY, CREDITCARD",23,FALSE,4,1,18,0,TRUE,TRUE,TRUE,FALSE
4421,7 Ave & 40 St,3266.01,40.648169,-74.000057,71,"KEY, CREDITCARD",24,FALSE,4,1,18,0,TRUE,TRUE,TRUE,FALSE
437,Macon St & Nostrand Ave,4214.03,40.68098339,-73.95004798,71,"KEY, CREDITCARD",24,FALSE,4,1,19,0,TRUE,TRUE,TRUE,FALSE
4417,67 St & Erik Pl,2733.03,40.633385,-74.016562,71,"KEY, CREDITCARD",25,FALSE,4,1,19,0,TRUE,TRUE,TRUE,FALSE
3893,Rockaway Ave & Bainbridge St,4285.09,40.68319988,-73.91166642,71,"KEY, CREDITCARD",25,FALSE,4,1,20,0,TRUE,TRUE,TRUE,FALSE
3934,St Nicholas Ave & W 134 St,7837.3,40.816234,-73.948222,71,"KEY, CREDITCARD",27,FALSE,4,1,21,0,TRUE,TRUE,TRUE,FALSE
4617,5 Ave & W 126 St,7701.21,40.80722,-73.9418,71,"KEY, CREDITCARD",27,FALSE,4,1,21,0,TRUE,TRUE,TRUE,FALSE
3510,Adam Clayton Powell Blvd & W 123 St,7704.04,40.8078316,-73.949373,71,"KEY, CREDITCARD",31,FALSE,4,1,24,0,TRUE,TRUE,TRUE,FALSE
4188,Broadway & W 155 St,8123.02,40.83299,-73.94592,71,"KEY, CREDITCARD",31,FALSE,4,1,24,0,TRUE,TRUE,TRUE,FALSE
3866,Wilson Ave & Moffat St,4507.07,40.68906,-73.90506,71,"KEY, CREDITCARD",32,FALSE,4,1,26,0,TRUE,TRUE,TRUE,FALSE
4219,W 35 St & 9 Ave,6569.09,40.75414519,-73.99608895,71,"KEY, CREDITCARD",32,FALSE,4,1,27,0,TRUE,TRUE,TRUE,FALSE
4312,Shore Blvd & Astoria Park,7271.01,40.77977,-73.923162,71,"KEY, CREDITCARD",33,FALSE,4,1,27,0,TRUE,TRUE,TRUE,FALSE
3518,Lenox Ave & W 126 St,7720.03,40.808442,-73.9452087,71,"KEY, CREDITCARD",34,FALSE,4,1,28,0,TRUE,TRUE,TRUE,FALSE
3552,W 113 St & Broadway,7713.01,40.805973,-73.964928,71,"KEY, CREDITCARD",39,FALSE,4,1,31,0,TRUE,TRUE,TRUE,FALSE
3350,W 100 St & Broadway,7580.01,40.7973721,-73.97041192,71,"KEY, CREDITCARD",39,FALSE,4,1,34,0,TRUE,TRUE,TRUE,FALSE
